Date,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Routes Completed,Doors in Route,Time Spent,New Route Number/Name,TotalRoutes,AvgDoorsPerRoute,TotalDonationVolume,Total Volunteers
2023-09-23 10:36:10,Londonderry Chapel,Bonnie Doon Stake,1,3,14,25.0,0,Clareview Ward,2,14,25.0,Bonnie Doon Stake 1,127,14.0,14,4
2023-09-23 10:36:52,Gateway Stake Centre,Gateway Stake,3,1,18,25.0,1,Crawford Plains Ward,2,144,30.0,Gateway Stake 1,192,144.0,18,4
2023-09-23 10:40:22,Gateway Stake Centre,Gateway Stake,2,0,20,30.0,0,Silver Berry Ward,2,186,30.0,Gateway Stake 2,192,186.0,20,2
2023-09-23 10:41:08,Gateway Stake Centre,Gateway Stake,2,0,20,25.0,1,Crawford Plains Ward,1,196,30.0,Gateway Stake 3,192,196.0,20,2
2023-09-23 10:44:10,Londonderry Chapel,Bonnie Doon Stake,1,0,2,5.0,0,Londonderry Ward,2,1,-30.894484412470025,Bonnie Doon Stake 2,127,1.0,2,1
2023-09-23 10:48:19,Bearspaw Chapel,Gateway Stake,2,0,20,20.0,0,Blackmud Creek Ward,2,179,20.0,Gateway Stake 4,192,179.0,20,2
2023-09-23 10:50:22,Gateway Stake Centre,Gateway Stake,1,4,17,25.0,0,Lee Ridge Ward,2,141,22.0,Gateway Stake 5,192,141.0,17,5
2023-09-23 10:51:08,Londonderry Chapel,Bonnie Doon Stake,2,0,32,45.0,0,Londonderry Ward,2,27,-30.894484412470025,Bonnie Doon Stake 3,127,27.0,32,2
2023-09-23 10:51:58,Londonderry Chapel,Bonnie Doon Stake,2,0,100,5.0,1,Londonderry Ward,2,200,49.0,Bonnie Doon Stake 4,127,200.0,100,2
2023-09-23 10:52:50,Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45.0,0,Southgate Ward,2,13,35.0,Bonnie Doon Stake 5,127,13.0,15,5
2023-09-23 10:53:37,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30.0,0,Connors Hill Ward,2,300,30.0,Bonnie Doon Stake 6,127,300.0,30,3
2023-09-23 10:55:47,Londonderry Chapel,Bonnie Doon Stake,1,0,17,60.0,0,Clareview Ward,2,110,-30.894484412470025,Bonnie Doon Stake 7,127,110.0,17,1
2023-09-23 10:55:58,Londonderry Chapel,Bonnie Doon Stake,3,2,20,40.0,0,Londonderry Ward,2,107,40.0,Bonnie Doon Stake 8,127,107.0,20,5
2023-09-23 10:56:13,Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55.0,0,Coronation Park Ward,2,20,55.0,Bonnie Doon Stake 9,127,20.0,25,3
2023-09-23 10:58:47,Londonderry Chapel,Bonnie Doon Stake,2,3,24,45.0,1,Clareview Ward,3,250,45.0,Bonnie Doon Stake 10,127,250.0,24,5
2023-09-23 10:59:19,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,5,10,60.0,0,Connors Hill Ward,2,184,60.0,Bonnie Doon Stake 11,127,184.0,10,8
2023-09-23 11:01:08,Londonderry Chapel,Bonnie Doon Stake,2,2,12,30.0,0,Londonderry Ward,2,12,-30.894484412470025,Bonnie Doon Stake 12,127,12.0,12,4
2023-09-23 11:01:52,Londonderry Chapel,Bonnie Doon Stake,2,0,30,45.0,1,Londonderry Ward,2,196,60.0,Bonnie Doon Stake 13,127,196.0,30,2
2023-09-23 11:03:03,Londonderry Chapel,Bonnie Doon Stake,2,0,16,25.0,0,Londonderry Ward,2,98,25.0,Bonnie Doon Stake 14,127,98.0,16,2
2023-09-23 11:03:09,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,10,20.0,1,Forest Heights Ward,2,120,20.0,Bonnie Doon Stake 15,127,120.0,10,4
2023-09-23 11:03:15,Coronation Park Chapel,Bonnie Doon Stake,2,0,20,60.0,0,Coronation Park Ward,2,96,60.0,Bonnie Doon Stake 16,127,96.0,20,2
2023-09-23 11:03:27,Gateway Stake Centre,Gateway Stake,5,0,29,30.0,0,Silver Berry Ward,2,19,30.0,Gateway Stake 6,192,19.0,29,5
2023-09-23 11:04:02,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,40,30.0,0,Forest Heights Ward,2,200,45.0,Bonnie Doon Stake 17,127,200.0,40,3
2023-09-23 11:04:30,Coronation Park Chapel,Bonnie Doon Stake,2,0,18,63.0,0,Coronation Park Ward,2,140,63.0,Bonnie Doon Stake 18,127,140.0,18,2
2023-09-23 11:05:27,Gateway Stake Centre,Gateway Stake,2,3,21,30.0,0,Silver Berry Ward,2,1,32.0,Gateway Stake 7,192,1.0,21,5
2023-09-23 11:06:19,Bearspaw Chapel,Gateway Stake,5,3,24,40.0,0,Lee Ridge Ward,2,157,40.0,Gateway Stake 8,192,157.0,24,8
2023-09-23 11:06:35,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,40,180.0,1,Connors Hill Ward,2,375,60.0,Bonnie Doon Stake 19,127,375.0,40,5
2023-09-23 11:06:47,Gateway Stake Centre,Gateway Stake,3,0,35,30.0,0,Silver Berry Ward,2,250,740.0,Gateway Stake 9,192,250.0,35,3
2023-09-23 11:06:48,Gateway Stake Centre,Gateway Stake,2,0,15,25.0,0,Crawford Plains Ward,2,116,25.0,Gateway Stake 10,192,116.0,15,2
2023-09-23 11:07:00,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,30,30.0,0,Forest Heights Ward,2,115,30.0,Bonnie Doon Stake 20,127,115.0,30,2
2023-09-23 11:07:50,Londonderry Chapel,Bonnie Doon Stake,1,1,36,45.0,0,Clareview Ward,2,15,-30.894484412470025,Bonnie Doon Stake 21,127,15.0,36,2
2023-09-23 11:09:01,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,15,30.0,0,Forest Heights Ward,2,90,38.0,Bonnie Doon Stake 22,127,90.0,15,4
2023-09-23 11:09:16,North Stake Centre,Edmonton North Stake,2,1,21,45.0,0,Griesbach Ward,2,206,45.0,Edmonton North Stake 1,57,206.0,21,3
2023-09-23 11:09:16,Gateway Stake Centre,Gateway Stake,2,3,21,32.0,0,Silver Berry Ward,2,202,32.0,Gateway Stake 11,192,202.0,21,5
2023-09-23 11:09:20,North Stake Centre,Edmonton North Stake,1,1,23,45.0,0,Griesbach Ward,2,206,45.0,Edmonton North Stake 2,57,206.0,23,2
2023-09-23 11:09:47,Riverbend Stake Centre,Riverbend Stake,2,0,30,50.0,0,Greenfield Ward,2,172,50.0,Riverbend Stake 1,73,172.0,30,2
2023-09-23 11:10:31,Londonderry Chapel,Bonnie Doon Stake,2,0,24,30.0,0,Clareview Ward,2,23,-30.894484412470025,Bonnie Doon Stake 23,127,23.0,24,2
2023-09-23 11:11:29,Coronation Park Chapel,Bonnie Doon Stake,2,0,5,32.0,0,Coronation Park Ward,2,302,39.0,Bonnie Doon Stake 24,127,302.0,5,2
2023-09-23 11:11:38,North Stake Centre,Edmonton North Stake,2,3,29,60.0,0,Griesbach Ward,2,107,60.0,Edmonton North Stake 3,57,107.0,29,5
2023-09-23 11:11:39,Gateway Stake Centre,Gateway Stake,1,0,20,20.0,0,Crawford Plains Ward,2,100,20.0,Gateway Stake 12,192,100.0,20,1
2023-09-23 11:11:53,Londonderry Chapel,Bonnie Doon Stake,2,1,17,30.0,0,Londonderry Ward,2,182,-30.894484412470025,Bonnie Doon Stake 25,127,182.0,17,3
2023-09-23 11:12:39,Londonderry Chapel,Bonnie Doon Stake,3,0,15,45.0,1,Londonderry Ward,2,200,51.0,Bonnie Doon Stake 26,127,200.0,15,3
2023-09-23 11:12:49,North Stake Centre,Edmonton North Stake,2,2,24,30.0,0,Griesbach Ward,2,20,30.0,Edmonton North Stake 4,57,20.0,24,4
2023-09-23 11:13:44,Gateway Stake Centre,Gateway Stake,2,0,26,45.0,0,Crawford Plains Ward,2,150,40.0,Gateway Stake 13,192,150.0,26,2
2023-09-23 11:14:24,Gateway Stake Centre,Gateway Stake,3,0,24,35.0,0,Silver Berry Ward,2,194,40.0,Gateway Stake 14,192,194.0,24,3
2023-09-23 11:14:30,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,3,30,60.0,1,Forest Heights Ward,2,100,73.0,Bonnie Doon Stake 27,127,100.0,30,6
2023-09-23 11:14:32,Gateway Stake Centre,Gateway Stake,2,2,33,50.0,1,Ellerslie Ward,1,207,50.0,Gateway Stake 15,192,207.0,33,4
2023-09-23 11:14:37,Londonderry Chapel,Bonnie Doon Stake,2,2,11,35.0,0,Londonderry Ward,2,116,-30.894484412470025,Bonnie Doon Stake 28,127,116.0,11,4
2023-09-23 11:15:10,Bearspaw Chapel,Gateway Stake,2,0,15,45.0,0,Blackmud Creek Ward,2,135,35.0,Gateway Stake 16,192,135.0,15,2
2023-09-23 11:16:08,Gateway Stake Centre,Gateway Stake,1,0,11,20.0,0,Silver Berry Ward,2,29,13.0,Gateway Stake 17,192,29.0,11,1
2023-09-23 11:17:13,Riverbend Stake Centre,Riverbend Stake,2,3,22,30.0,0,Rabbit Hill Ward,2,80,40.0,Riverbend Stake 2,73,80.0,22,5
2023-09-23 11:17:17,North Stake Centre,Edmonton North Stake,2,0,23,100.0,0,Namao Ward,2,160,100.0,Edmonton North Stake 5,57,160.0,23,2
2023-09-23 11:17:27,Gateway Stake Centre,Gateway Stake,2,0,23,30.0,0,Wainwright Branch,2,137,30.0,Gateway Stake 18,192,137.0,23,2
2023-09-23 11:18:13,Gateway Stake Centre,Gateway Stake,1,4,16,20.0,1,Lee Ridge Ward,2,147,20.0,Gateway Stake 19,192,147.0,16,5
2023-09-23 11:19:28,Riverbend Stake Centre,Riverbend Stake,4,2,59,60.0,1,Rabbit Hill Ward,2,236,60.0,Riverbend Stake 3,73,236.0,59,6
2023-09-23 11:20:02,Gateway Stake Centre,Gateway Stake,1,1,5,17.0,0,Crawford Plains Ward,2,135,17.0,Gateway Stake 20,192,135.0,5,2
2023-09-23 11:20:34,North Stake Centre,Edmonton North Stake,2,3,35,70.0,0,Griesbach Ward,2,370,65.0,Edmonton North Stake 6,57,370.0,35,5
2023-09-23 11:21:02,Gateway Stake Centre,Gateway Stake,2,0,15,40.0,0,Crawford Plains Ward,2,115,40.0,Gateway Stake 21,192,115.0,15,2
2023-09-23 11:21:27,North Stake Centre,Edmonton North Stake,2,2,16,60.0,0,Griesbach Ward,2,200,50.0,Edmonton North Stake 7,57,200.0,16,4
2023-09-23 11:22:37,Gateway Stake Centre,Gateway Stake,2,0,20,30.0,0,Silver Berry Ward,2,198,30.0,Gateway Stake 22,192,198.0,20,2
2023-09-23 11:22:37,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,40.0,0,Connors Hill Ward,2,235,60.0,Bonnie Doon Stake 29,127,235.0,25,2
2023-09-23 11:23:00,Londonderry Chapel,Bonnie Doon Stake,2,0,20,35.0,0,Londonderry Ward,2,100,40.0,Bonnie Doon Stake 30,127,100.0,20,2
2023-09-23 11:23:31,Gateway Stake Centre,Gateway Stake,2,1,22,50.0,0,Ellerslie Ward,2,191,50.0,Gateway Stake 23,192,191.0,22,3
2023-09-23 11:24:00,North Stake Centre,Edmonton North Stake,2,0,9,20.0,0,Griesbach Ward,2,100,20.0,Edmonton North Stake 8,57,100.0,9,2
2023-09-23 11:24:25,Gateway Stake Centre,Gateway Stake,2,0,31,58.0,0,Silver Berry Ward,2,27,57.0,Gateway Stake 24,192,27.0,31,2
2023-09-23 11:24:29,Gateway Stake Centre,Gateway Stake,4,0,26,50.0,0,Silver Berry Ward,2,168,50.0,Gateway Stake 25,192,168.0,26,4
2023-09-23 11:24:46,North Stake Centre,Edmonton North Stake,1,4,42,50.0,0,Namao Ward,2,392,60.0,Edmonton North Stake 9,57,392.0,42,5
2023-09-23 11:25:07,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,18,120.0,0,Forest Heights Ward,2,100,56.0,Bonnie Doon Stake 31,127,100.0,18,5
2023-09-23 11:25:08,Gateway Stake Centre,Gateway Stake,2,3,21,50.0,1,Crawford Plains Ward,2,317,50.0,Gateway Stake 26,192,317.0,21,5
2023-09-23 11:25:22,Riverbend Stake Centre,Riverbend Stake,3,0,54,75.0,0,Greenfield Ward,2,212,80.0,Riverbend Stake 4,73,212.0,54,3
2023-09-23 11:25:29,Gateway Stake Centre,Gateway Stake,1,2,11,30.0,1,Crawford Plains Ward,2,261,33.0,Gateway Stake 27,192,261.0,11,3
2023-09-23 11:25:49,Gateway Stake Centre,Gateway Stake,2,0,15,40.0,0,Crawford Plains Ward,2,115,40.0,Gateway Stake 28,192,115.0,15,2
2023-09-23 11:26:50,Coronation Park Chapel,Edmonton North Stake,1,2,31,45.0,1,Stony Plain Ward,2,453,69.0,Edmonton North Stake 10,57,453.0,31,3
