Drop Off Location,Stake,Route Number/Name,Time Spent Collecting Donations,# of Adult Volunteers who participated in this route,# of Youth Volunteers who participated in this route,# of Doors in Route,# of Donation Bags Collected,total number of volunteers ,New Route Number/Name,TotalRoutes,AvgDoorsPerRoute,TotalDonationVolume,TotalVolunteers
Bearspaw Chapel,Riverbend Stake,676,15,7,7,78,599,14,Riverbend Stake 1,94,78,599,14
Bearspaw Chapel,Gateway Stake,0,15,0,0,0,0,0,Gateway Stake 1,82,0,0,0
Londonberry Chapel,Bonnie Doon Stake,Unassigned,15,1,0,1,1,1,Bonnie Doon Stake 1,104,1,1,1
Gateway Stake Centre ,Gateway Stake,50,15,2,2,20,20,4,Gateway Stake 2,82,20,20,4
Bonnie Doon Stake Centre,Bonnie Doon Stake,98,15,2,2,20,15,4,Bonnie Doon Stake 2,104,20,15,4
Bearspaw Chapel,Gateway Stake,6,45,2,3,144,25,5,Gateway Stake 3,82,144,25,5
Gateway Stake Centre ,Gateway Stake,19,45,1,0,230,21,1,Gateway Stake 4,82,230,21,1
Bonnie Doon Stake Centre,Bonnie Doon Stake,7,15,2,0,75,7,2,Bonnie Doon Stake 3,104,75,7,2
Gateway Stake Centre ,Gateway Stake,Meyokumin 25,45,2,0,280,32,2,Gateway Stake 5,82,280,32,2
Londonberry Chapel,Bonnie Doon Stake,32,45,2,3,21,23,5,Bonnie Doon Stake 4,104,21,23,5
Riverbend Stake Centre,Riverbend Stake,Route 1,1,3,3,45,15,6,Riverbend Stake 2,94,45,15,6
Riverbend Stake Centre,Riverbend Stake,2,45,2,4,172,18,6,Riverbend Stake 3,94,172,18,6
Bearspaw Chapel,Gateway Stake,1,15,2,0,135,26,2,Gateway Stake 6,82,135,26,2
Bonnie Doon Stake Centre,Bonnie Doon Stake,Strathearn North,45,2,4,0,30,6,Bonnie Doon Stake 5,104,0,30,6
Londonberry Chapel,Bonnie Doon Stake,64,15,2,0,18,18,2,Bonnie Doon Stake 6,104,18,18,2
Londonberry Chapel,Bonnie Doon Stake,21,15,2,1,10,12,3,Bonnie Doon Stake 7,104,10,12,3
Bearspaw Chapel,Gateway Stake,10,45,2,3,3,36,5,Gateway Stake 7,82,3,36,5
Gateway Stake Centre ,Gateway Stake,28/konietz,45,3,4,117,30,7,Gateway Stake 8,82,117,30,7
Bonnie Doon Stake Centre,Bonnie Doon Stake,58,15,2,1,125,7,3,Bonnie Doon Stake 8,104,125,7,3
Bearspaw Chapel,Gateway Stake,6,45,2,1,12,20,3,Gateway Stake 9,82,12,20,3
Gateway Stake Centre ,Gateway Stake,18,15,2,0,236,16,2,Gateway Stake 10,82,236,16,2
